seed,strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights
1,Simple alpha + SampleCov + Basic + One-Step,2.582575290160609,1.6850831636515728,1.5825752901606092,0.6850831636515728,1.0234885077676297,0.6233104731204516,-0.41175406830470485,-0.49527040147223556,0.20538492159356309,0.8000000467867004,0.09999769720935495,0.002,0.0004176956485498319,False
1,Simple alpha + SampleCov + Basic + Two-Step,2.585820149011316,1.675258600944512,1.5858201490113162,0.6752586009445121,1.024878720503266,0.617878394536014,-0.4116193109259557,-0.4974572337394565,0.20899694100269217,0.7940596061691916,0.09997250247866701,0.002,0.0004246250471622097,False
1,Simple alpha + SampleCov + Enhanced + One-Step,3.300626810918112,2.9822200836742065,2.300626810918112,1.9822200836742065,1.2683795694531779,1.172235716799945,-0.33503396387097206,-0.35340762752756705,0.04986210320625709,0.05023231508550155,0.09985691609649235,0.002,9.925197130977037e-05,False
1,Simple alpha + SampleCov + Enhanced + Two-Step,3.1533370126023277,2.848211262015778,2.1533370126023277,1.848211262015778,1.3036658326040538,1.1994140760994951,-0.32445947594024405,-0.3351130028811643,0.0500375675125312,0.0505422011701729,0.07337877050352953,0.002,9.954369864321371e-05,False
1,Simple alpha + EWMA + Basic + One-Step,2.846215478107349,1.8594589051628032,1.8462154781073492,0.8594589051628032,1.1076779060383988,0.712486044823884,-0.3333528611916985,-0.43204535001365685,0.2084519691214555,0.8000316914724709,0.09999797577866378,0.002,0.00041657667921537935,False
1,Simple alpha + EWMA + Basic + Two-Step,2.851850455451295,1.8474315285104859,1.8518504554512951,0.8474315285104859,1.1097311174137627,0.7065350804991267,-0.33472378737636954,-0.4358277151864537,0.21256318200233598,0.7940588839638661,0.09997327265185883,0.002,0.00042485651724521664,False
1,Simple alpha + EWMA + Enhanced + One-Step,3.669521361148244,3.3153307336230893,2.669521361148244,2.3153307336230893,1.3603367560450081,1.264970458300195,-0.24248964384037108,-0.2571541183273133,0.049884381143876846,0.050288191932038304,0.09985713831731596,0.002,9.93164247742868e-05,False
1,Simple alpha + EWMA + Enhanced + Two-Step,2.884995356388557,2.605804067170548,1.8849953563885569,1.6058040671705478,1.2098029247347464,1.1056904486806203,-0.27425666389260883,-0.2864035833503752,0.05003823034834128,0.050470915424273594,0.06821307135536596,0.002,9.954537091043099e-05,False
1,AR1 alpha + SampleCov + Basic + One-Step,3.2574001118042957,1.98252599681446,2.2574001118042957,0.98252599681446,1.2518915189527837,0.783102808395628,-0.23367389280097184,-0.2905283675566239,0.22535462245510932,1.44,0.09984114586323647,0.002,0.00048641239460642027,False
1,AR1 alpha + SampleCov + Basic + Two-Step,3.241754680305284,1.9486726511599757,2.241754680305284,0.9486726511599757,1.2479454751361916,0.7668903646450386,-0.23305721226745746,-0.29544982807901565,0.23151304706737466,1.4731293927158478,0.09981204529176475,0.002,0.0004984942585680633,False
1,AR1 alpha + SampleCov + Enhanced + One-Step,3.2375020205989515,2.926253155585199,2.2375020205989515,1.926253155585199,1.282805288696094,1.1836580408761557,-0.26958478772823646,-0.27959944909033085,0.049880214656032505,0.050235532033768175,0.09959272684098712,0.002,9.884548572195412e-05,False
1,AR1 alpha + SampleCov + Enhanced + Two-Step,3.1306532885914446,2.829066259407781,2.1306532885914446,1.8290662594077811,1.2967639663629664,1.1927243641575402,-0.2577512798447762,-0.26749371494073937,0.0499929138527479,0.0507406293664254,0.07953869852891526,0.002,9.903674046323794e-05,False
1,AR1 alpha + EWMA + Basic + One-Step,3.546361433925069,2.0366368835870436,2.546361433925069,1.0366368835870436,1.3459887487893194,0.8162345582119711,-0.17763577680091858,-0.30719454146954694,0.25746113146246785,1.8000013238835728,0.09999747572570551,0.002,0.0005431618957948656,False
1,AR1 alpha + EWMA + Basic + Two-Step,3.550267942890498,2.0123511001952505,2.550267942890498,1.0123511001952505,1.3469694154988983,0.8045151994927006,-0.17779361818779849,-0.31414563578698895,0.2643416690680672,1.7833498096077764,0.09996954393008417,0.002,0.0005559304061155564,False
1,AR1 alpha + EWMA + Enhanced + One-Step,3.9453633466334397,3.564185105119424,2.9453633466334397,2.564185105119424,1.4564413913695102,1.3587780226189965,-0.1684044069730103,-0.17324993644066,0.049963126932571295,0.05051528537345297,0.09963983604076523,0.002,9.94190757957464e-05,False
1,AR1 alpha + EWMA + Enhanced + Two-Step,3.2183294584549746,2.9069217183083813,2.2183294584549746,1.9069217183083813,1.3194873066358996,1.2157201532632462,-0.23763042356579367,-0.2519251199575767,0.050038724237693136,0.05056688985122993,0.06673774553596597,0.002,9.954241708358699e-05,False
